id,itemSku,productName,productPrice,productDescription
fc2a52e8-a68a-4416-84f9-4df23f6d98f5,PHN-VIVO-SE-128GB-GOL-00001,Vivo SE 128GB Gold,432.81,"Premium Vivo SE smartphone with 128GB storage in Gold. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
bbae4f32-38c6-4094-b6f6-5ae4d2dde698,PHN-HUAWEI-SE-64GB-GRA-00002,Huawei SE 64GB Gray,1356.98,"Premium Huawei SE smartphone with 64GB storage in Gray. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
66441b13-5949-44a4-9a42-575984091661,PHN-XIAOMI-MINI-512GB-SIL-00003,Xiaomi Mini 512GB Silver,930.69,"Premium Xiaomi Mini smartphone with 512GB storage in Silver. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
bd4f91ea-8d3c-464c-aa7b-46a169f8dc4d,PHN-ONEPLU-NOTE-256GB-RED-00004,OnePlus Note 256GB Red,1073.33,"Premium OnePlus Note smartphone with 256GB storage in Red. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
fc861b3e-21d9-4ed0-b0ae-6f0746d5615d,PHN-IPHONE-SE-64GB-PUR-00005,iPhone SE 64GB Purple,1037.74,"Premium iPhone SE smartphone with 64GB storage in Purple. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
c86c0081-3dd8-4ca0-ac99-f5342479b661,PHN-SAMSUN-PRO-512GB-GRE-00006,Samsung Galaxy Pro 512GB Green,365.34,"Premium Samsung Galaxy Pro smartphone with 512GB storage in Green. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
dbfaf37e-3c7d-45ab-83b4-f28ed1dda43d,PHN-REALME-LITE-256GB-GRE-00007,Realme Lite 256GB Green,237.36,"Premium Realme Lite smartphone with 256GB storage in Green. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
a3921784-2efb-4806-a29b-f421ca571816,PHN-OPPO-PRO-1TB-GOL-00008,Oppo Pro 1TB Gold,1335.09,"Premium Oppo Pro smartphone with 1TB storage in Gold. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
066d5414-30b5-41c7-b5c8-315a495f43c5,PHN-REALME-MINI-64GB-RED-00009,Realme Mini 64GB Red,1448.76,"Premium Realme Mini smartphone with 64GB storage in Red. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
c29689ca-3531-4ffa-8f4d-a258b5774c5e,PHN-GOOGLE-NOTE-512GB-PIN-00010,Google Pixel Note 512GB Pink,716.31,"Premium Google Pixel Note smartphone with 512GB storage in Pink. Features high-resolution display, advanced camera system, fast processor, and long-lasting battery. Perfect for professionals and tech enthusiasts."
